country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_per_capita_growth,co2_growth,gdp_growth,renewable_growth,renewable_share,co2_intensity_gdp,population_growth,fossil_dependency,cumulative_co2,log_gdp_per_capita,cluster,Cluster
Spain,1993,239.809,6.048,82.449,128.569,14.168,39651575,ESP,32001.795,6.273599,-0.04030466518565523,-0.03463198235189935,-0.015433597182329062,0.3225870309037975,0.025493874924492326,0.007493610905263283,0.005866977613080859,99.97450612507551,958.404,10.373547273958668,3,0
Spain,1994,252.047,6.324,82.941,137.166,15.212,39858677,ESP,32608.84,6.92714,0.045634920634920695,0.051032279856052076,0.018969092202484328,0.10417321859430295,0.026748384993188896,0.007729407117824491,0.005223045995020437,99.97325161500682,1210.451,10.392338696240213,3,0
Spain,1995,265.779,6.636,85.879,143.469,18.878,40052688,ESP,33360.46,5.623783,0.04933586337760909,0.05448190218490989,0.02304957796720153,-0.18815225331089014,0.020721169244605722,0.00796688654772746,0.004867472144145735,99.97927883075539,1476.23,10.41512664534644,3,0
Spain,1996,253.237,6.294,72.659,142.029,21.289,40237332,ESP,34088.027,9.155758,-0.051537070524412365,-0.047189582322154866,0.02180926162289132,0.6280425471608702,0.03489333345091788,0.007428913383575998,0.0046100276715510535,99.96510666654908,1729.467,10.436701487247024,3,0
Spain,1997,265.567,6.57,75.331,144.683,27.489,40423773,ESP,35163.18,7.8966756,0.043851286939943,0.04868956748026565,0.0315404878082266,-0.13751809517027436,0.028876506478142286,0.007552417045329803,0.004633532859484868,99.97112349352186,1995.034,10.467754791395336,3,0
Spain,1998,274.318,6.754,73.456,152.941,28.462,40617392,ESP,36524.426,7.5344834,0.028006088280060792,0.03295213637236549,0.0387122552624648,-0.04586641497594257,0.02673200998306336,0.007510535552290404,0.0047897310327762455,99.97326799001694,2269.352,10.505736521231896,3,0
Spain,1999,297.773,7.296,83.531,161.365,32.502,40812809,ESP,37980.48,5.3413296,0.08024874148652672,0.08550295642283778,0.039865212392386606,-0.2910821729330507,0.017621501454743498,0.007840158944805331,0.004811165620874913,99.98237849854526,2567.125,10.544827622517063,4,0
Spain,2000,310.072,7.559,88.321,163.469,37.153,41019721,ESP,39777.45,6.59801,0.03604714912280693,0.04130327464209316,0.04731298814548923,0.23527482745120243,0.020835601072548678,0.007795170379197259,0.00506978091118393,99.97916439892745,2877.197,10.591055447789204,3,0
Spain,2001,311.809,7.56,81.098,169.399,39.97,41245551,ESP,41050.457,8.709262,0.00013229263130032365,0.00560192471426002,0.0320032329875346,0.31998314643354586,0.02717243612159609,0.007595749786658891,0.005505400682759287,99.9728275638784,3189.006,10.622557247583526,3,0
Spain,2002,331.95,7.95,90.917,173.921,45.027,41755656,ESP,41589.918,6.0164313,0.051587301587301626,0.06459403031984312,0.01314141277404035,-0.30919160544257374,0.017801860607450214,0.007981501670669319,0.01236751571096728,99.98219813939255,3520.956,10.635613061107218,3,0
Spain,2003,336.333,7.912,84.293,178.25,51.279,42506499,ESP,42045.082,9.206891,-0.004779874213836521,0.013203795752372516,0.010944094672175275,0.5302910547653059,0.02664494386843457,0.007999342229847477,0.01798182741997878,99.97335505613157,3857.289,10.64649770255645,3,0
Spain,2004,353.011,8.165,87.367,183.598,58.736,43234511,ESP,42612.938,8.0197115,0.031976744186046346,0.04958775975000962,0.013505883993756962,-0.12894466764079215,0.022213377545306136,0.0082841272291528,0.017127075085624055,99.97778662245469,4210.3,10.659913195067432,3,0
Spain,2005,368.339,8.379,87.766,187.751,68.912,43958840,ESP,43387.035,6.4418535,0.026209430496019648,0.04342074326295764,0.01816577397221475,-0.19674747651458535,0.01718832069418936,0.00848960985695381,0.016753491209834603,99.98281167930581,4578.639,10.677915942740094,3,0
Spain,2006,359.654,8.047,77.952,183.443,74.012,44695400,ESP,44384.727,7.9334793,-0.03962286669053572,-0.023578822769242502,0.022995164338839746,0.23155226985525212,0.021582561286112883,0.008103102673133486,0.016755674171565982,99.97841743871389,4938.293,10.700650702756906,3,0
Spain,2007,367.401,8.072,84.629,182.939,75.626,45516452,ESP,45110.254,8.869269,0.0031067478563437945,0.021540146918983316,0.016346321111764484,0.11795451461000206,0.0235715381488193,0.008144511888583027,0.018369944110579572,99.97642846185119,5305.694,10.716864861067148,3,0
